Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
23.941177,10.999843,53.0,10.0,23.941176470588236,21.145834,9.688889,57.0,9.0,21.145833333333332,17.666484832763672,1015,0.15683817863464355,21.145834,0
28.375,12.454291,57.0,12.0,28.375,22.466667,9.398818,45.0,11.0,22.466666666666665,17.921987533569336,2026,4.723690986633301,,1
29.428572,19.87358,90.0,13.0,29.428571428571427,25.923077,14.048241,57.0,10.0,25.923076923076923,22.110380172729492,3037,4.823421955108643,,2
45.666668,11.803953,63.0,20.0,45.666666666666664,30.39394,13.638047,61.0,12.0,30.393939393939394,23.826904296875,4040,4.918973922729492,,3
37.0,9.155227,51.0,25.0,37.0,44.695652,20.999863,103.0,14.0,44.69565217391305,34.49538040161133,5068,5.0307981967926025,,4
54.5,22.759613,101.0,25.0,54.5,48.714287,19.011633,92.0,18.0,48.714285714285715,35.25017547607422,6091,5.128728151321411,,5
62.57143,20.59027,89.0,22.0,62.57142857142857,52.94737,27.914291,126.0,29.0,52.94736842105263,41.684974670410156,7097,5.226277112960815,,6
68.666664,21.868294,113.0,45.0,68.66666666666667,55.105263,23.449598,132.0,25.0,55.10526315789474,39.267887115478516,8144,5.323691129684448,,7
50.25,24.559875,100.0,18.0,50.25,59.235294,24.230581,101.0,27.0,59.23529411764706,40.376712799072266,9151,5.419501066207886,,8
46.0,12.046207,69.0,31.0,46.0,51.1,19.33365,100.0,21.0,51.1,33.7908935546875,10173,5.51657509803772,,9
43.2,9.887365,60.0,22.0,43.2,56.27778,31.846518,163.0,25.0,56.27777777777778,42.868614196777344,11186,5.614141941070557,,10
57.57143,18.859306,92.0,32.0,57.57142857142857,54.0,26.635948,126.0,28.0,54.0,38.24653244018555,12212,5.711694002151489,,11
43.5,14.298601,66.0,20.0,43.5,48.090908,15.704398,79.0,24.0,48.09090909090909,29.980741500854492,13270,5.814082145690918,,12
63.57143,17.581299,103.0,45.0,63.57142857142857,63.9375,22.526287,120.0,26.0,63.9375,38.504150390625,14293,5.914231061935425,,13
63.142857,27.41443,126.0,38.0,63.142857142857146,64.117645,42.55914,174.0,26.0,64.11764705882354,50.65214538574219,15383,6.018780946731567,,14
92.2,15.184203,112.0,73.0,92.2,61.77778,32.609737,137.0,21.0,61.77777777777778,41.26972961425781,16495,6.12558913230896,,15
117.25,38.186222,161.0,74.0,117.25,70.933334,20.08139,117.0,36.0,70.93333333333334,39.2642822265625,17559,6.229105234146118,,16
157.66667,31.478388,187.0,114.0,157.66666666666666,85.25,21.209766,133.0,45.0,85.25,44.8162841796875,18582,6.329535961151123,,17
96.0,38.982048,172.0,66.0,96.0,86.666664,30.671194,173.0,58.0,86.66666666666667,49.070640563964844,19622,6.43222713470459,,18
90.0,36.926956,146.0,48.0,90.0,95.63636,31.404322,136.0,50.0,95.63636363636364,53.211265563964844,20674,6.533322095870972,,19
73.666664,24.321915,109.0,54.0,73.66666666666667,86.166664,35.67173,143.0,34.0,86.16666666666667,48.574981689453125,21708,6.632972002029419,,20
141.0,27.652607,163.0,102.0,141.0,102.1,29.163162,167.0,50.0,102.1,51.43702697753906,22729,6.729280948638916,,21
90.4,33.14574,131.0,58.0,90.4,74.5,19.059118,119.0,46.0,74.5,35.82928466796875,23772,6.829583168029785,,22
70.166664,22.490122,105.0,46.0,70.16666666666667,70.6,17.304335,105.0,36.0,70.6,32.8441276550293,24831,6.929523944854736,,23
67.5,21.26617,112.0,49.0,67.5,76.07143,24.370544,141.0,38.0,76.07142857142857,37.09429931640625,25896,7.027987003326416,,24
73.666664,13.755807,99.0,60.0,73.66666666666667,68.0,17.98518,116.0,43.0,68.0,31.927122116088867,26916,7.125400066375732,,25
106.5,29.124731,156.0,84.0,106.5,73.14286,18.118093,110.0,41.0,73.14285714285714,33.08695602416992,27940,7.2218711376190186,,26
86.4,19.386593,108.0,59.0,86.4,71.73333,17.306902,120.0,50.0,71.73333333333333,29.962379455566406,29016,7.321587085723877,,27
108.0,38.151016,152.0,63.0,108.0,98.833336,38.692883,200.0,57.0,98.83333333333333,47.52709197998047,30202,7.446662902832031,,28
150.33333,35.79882,200.0,117.0,150.33333333333334,115.333336,37.783005,194.0,62.0,115.33333333333333,51.38439178466797,31240,7.546064853668213,,29
100.6,26.264807,148.0,72.0,100.6,119.22222,39.62541,199.0,68.0,119.22222222222223,52.15760040283203,32313,7.6502039432525635,,30
121.0,42.278835,177.0,63.0,121.0,128.375,33.425056,200.0,72.0,128.375,48.624778747558594,33340,7.75146222114563,,31
89.4,16.977633,112.0,73.0,89.4,105.7,40.26177,179.0,46.0,105.7,46.92852020263672,34397,7.851399898529053,,32
62.142857,8.166632,72.0,47.0,62.142857142857146,100.0,46.602577,200.0,59.0,100.0,45.46247100830078,35397,7.947619199752808,,33
72.5,9.535023,87.0,60.0,72.5,77.76923,21.224636,130.0,52.0,77.76923076923077,27.916353225708008,36408,8.044198274612427,,34
70.5,25.210777,112.0,38.0,70.5,74.21429,23.860243,116.0,40.0,74.21428571428571,28.542802810668945,37447,8.141816139221191,,35
72.666664,17.632042,97.0,47.0,72.66666666666667,66.4375,18.189863,99.0,42.0,66.4375,25.680103302001953,38510,8.24172306060791,,36
53.5,8.261355,65.0,41.0,53.5,65.75,23.450747,139.0,38.0,65.75,24.96961212158203,39562,8.340176105499268,,37
81.4,38.54141,134.0,34.0,81.4,58.0,12.31079,97.0,40.0,58.0,21.377431869506836,40606,8.437255859375,,38
55.25,12.64664,86.0,42.0,55.25,59.882355,12.856138,83.0,42.0,59.88235294117647,22.57124137878418,41624,8.534207105636597,,39
52.875,11.8578825,76.0,35.0,52.875,54.94737,13.9904995,80.0,33.0,54.94736842105263,19.78795051574707,42668,8.63145399093628,,40
56.5,19.14419,97.0,41.0,56.5,54.63158,11.089163,76.0,38.0,54.63157894736842,18.663719177246094,43706,8.731021165847778,,41
52.25,8.584143,65.0,38.0,52.25,47.666668,8.659337,68.0,36.0,47.666666666666664,15.63918685913086,44707,8.825850248336792,,42
51.75,7.709572,66.0,43.0,51.75,51.25,12.616953,86.0,35.0,51.25,18.094539642333984,45732,8.921539068222046,,43
45.22222,9.390039,69.0,33.0,45.22222222222222,45.909092,10.49636,69.0,30.0,45.90909090909091,16.61012077331543,46742,9.015735149383545,,44
47.77778,6.032832,58.0,40.0,47.77777777777778,46.772728,10.378876,70.0,32.0,46.77272727272727,16.1815242767334,47771,9.113187074661255,,45
43.5,5.1429563,52.0,36.0,43.5,44.869564,10.48935,68.0,24.0,44.869565217391305,16.3053035736084,48803,9.209975004196167,,46
40.9,5.3935146,50.0,33.0,40.9,41.56,8.971421,67.0,29.0,41.56,15.23322868347168,49842,9.306308031082153,,47
44.1,10.044401,62.0,33.0,44.1,43.826088,9.62177,74.0,32.0,43.82608695652174,15.473908424377441,50850,9.401753187179565,,48
39.272728,5.2586017,48.0,31.0,39.27272727272727,41.958332,8.492542,60.0,30.0,41.958333333333336,15.191177368164062,51857,9.498424053192139,,49
40.4,4.6733284,50.0,34.0,40.4,43.541668,9.865678,72.0,31.0,43.541666666666664,15.447020530700684,52902,9.597446203231812,,50
40.545456,8.606167,57.0,28.0,40.54545454545455,45.826088,7.7102537,58.0,33.0,45.82608695652174,16.0284423828125,53956,9.697924137115479,,51
54.375,11.905225,81.0,40.0,54.375,40.72,9.417091,63.0,29.0,40.72,14.478495597839355,54974,9.793625116348267,,52
40.2,9.516302,63.0,29.0,40.2,46.31818,8.546059,62.0,34.0,46.31818181818182,16.270723342895508,55993,9.88765811920166,,53
51.25,10.825317,65.0,35.0,51.25,48.190475,10.390559,73.0,33.0,48.19047619047619,17.899948120117188,57005,9.982524871826172,,54
49.88889,13.987649,81.0,34.0,49.888888888888886,46.909092,12.01858,81.0,33.0,46.90909090909091,16.61583709716797,58037,10.081023931503296,,55
50.0,12.031209,73.0,36.0,50.0,47.5,11.750241,81.0,32.0,47.5,15.856840133666992,59082,10.176854133605957,,56
54.0,22.704624,111.0,35.0,54.0,59.64706,16.609499,97.0,40.0,59.64705882352941,21.175796508789062,60096,10.273017168045044,,57
57.57143,9.499732,73.0,45.0,57.57142857142857,63.25,13.754544,84.0,42.0,63.25,21.657331466674805,61108,10.367110967636108,,58
142.0,53.460266,200.0,71.0,142.0,62.5625,38.66841,200.0,38.0,62.5625,28.140480041503906,62109,10.461136817932129,,59
68.0,24.200552,120.0,51.0,68.0,70.86667,24.185028,133.0,40.0,70.86666666666666,25.436500549316406,63172,10.559270143508911,,60
75.333336,13.312484,102.0,61.0,75.33333333333333,86.5,38.184856,200.0,57.0,86.5,34.47346115112305,64210,10.658192873001099,,61
83.8,21.376623,116.0,58.0,83.8,78.92308,24.746286,120.0,48.0,78.92307692307692,26.419862747192383,65236,10.768529891967773,,62
122.25,42.733913,195.0,88.0,122.25,111.44444,30.565453,150.0,61.0,111.44444444444444,39.79856491088867,66239,10.867900848388672,,63
93.4,8.731552,105.0,78.0,93.4,112.111115,27.525522,168.0,73.0,112.11111111111111,35.51233673095703,67248,10.965748071670532,,64
111.75,41.057125,182.0,79.0,111.75,106.4,27.989998,176.0,72.0,106.4,33.291690826416016,68312,11.06650710105896,,65
101.4,30.130384,153.0,66.0,101.4,111.55556,39.429573,197.0,62.0,111.55555555555556,38.2608642578125,69316,11.167204141616821,,66
90.4,33.452057,141.0,58.0,90.4,109.8,36.85865,200.0,63.0,109.8,36.094505310058594,70414,11.269778966903687,,67
88.0,19.204166,120.0,69.0,88.0,88.75,33.254387,159.0,53.0,88.75,31.83049774169922,71479,11.369865894317627,,68
60.857143,13.819537,90.0,46.0,60.857142857142854,83.75,23.191683,121.0,42.0,83.75,28.56751823425293,72484,11.465781927108765,,69
91.0,38.538292,161.0,48.0,91.0,84.916664,44.165333,198.0,44.0,84.91666666666667,29.885705947875977,73503,11.564144134521484,,70
85.2,37.145123,154.0,49.0,85.2,63.411766,17.957659,109.0,45.0,63.411764705882355,18.097227096557617,74581,11.663166999816895,,71
69.0,11.818066,87.0,50.0,69.0,102.5,41.540943,200.0,65.0,102.5,32.84181594848633,75606,11.758894205093384,,72
68.85714,20.711823,99.0,48.0,68.85714285714286,69.86667,21.524765,130.0,48.0,69.86666666666666,21.465553283691406,76654,11.860679864883423,,73
90.0,7.2663608,103.0,81.0,90.0,83.75,17.185871,123.0,52.0,83.75,21.530954360961914,77659,11.958691120147705,,74
107.25,28.39344,152.0,79.0,107.25,95.36364,38.85,200.0,53.0,95.36363636363636,29.393936157226562,78708,12.057172060012817,,75
91.8,14.274452,112.0,69.0,91.8,73.21429,14.087374,98.0,54.0,73.21428571428571,20.65176010131836,79733,12.155654907226562,,76
82.666664,13.34999,103.0,67.0,82.66666666666667,97.63636,41.881374,197.0,51.0,97.63636363636364,32.886016845703125,80807,12.259315967559814,,77
92.8,16.845177,110.0,63.0,92.8,92.36364,29.177427,174.0,61.0,92.36363636363636,26.797651290893555,81823,12.358114004135132,,78
113.6,32.824383,171.0,82.0,113.6,82.84615,20.037834,125.0,54.0,82.84615384615384,23.79632568359375,82900,12.467612981796265,,79
75.833336,14.7243185,99.0,60.0,75.83333333333333,92.818184,21.353382,129.0,63.0,92.81818181818181,23.13628578186035,83921,12.566196918487549,,80
82.833336,28.858372,141.0,49.0,82.83333333333333,84.5,23.904324,130.0,53.0,84.5,21.065601348876953,84935,12.666672229766846,,81
66.666664,20.588562,109.0,44.0,66.66666666666667,76.28571,23.312868,126.0,44.0,76.28571428571429,20.311643600463867,86003,12.763123989105225,,82
50.25,12.214233,80.0,40.0,50.25,68.4,16.879179,102.0,44.0,68.4,16.891157150268555,87029,12.858675956726074,,83
101.5,57.050415,200.0,64.0,101.5,73.14286,37.251766,189.0,41.0,73.14285714285714,23.823108673095703,88053,12.954230070114136,,84
89.6,21.740284,117.0,55.0,89.6,79.38461,31.06702,136.0,38.0,79.38461538461539,21.6646728515625,89085,13.052767038345337,,85
65.14286,17.233095,101.0,44.0,65.14285714285714,67.26667,37.942883,174.0,36.0,67.26666666666667,23.920883178710938,90094,13.15096402168274,,86
68.666664,15.552777,100.0,50.0,68.66666666666667,68.625,39.44438,181.0,35.0,68.625,19.9917049407959,91192,13.251550912857056,,87
80.4,45.34137,171.0,55.0,80.4,79.0,28.772507,126.0,42.0,79.0,21.15705108642578,92298,13.352050065994263,,88
67.333336,16.285645,96.0,51.0,67.33333333333333,60.5,22.09638,113.0,38.0,60.5,14.432435035705566,93387,13.450362205505371,,89
58.142857,16.207834,88.0,40.0,58.142857142857146,67.0625,24.719599,121.0,37.0,67.0625,17.487319946289062,94460,13.54823088645935,,90
81.2,37.295574,153.0,44.0,81.2,68.066666,26.636984,138.0,36.0,68.06666666666666,15.645191192626953,95481,13.643615007400513,,91
61.857143,16.915155,89.0,37.0,61.857142857142854,79.61539,31.350473,139.0,45.0,79.61538461538461,19.151691436767578,96516,13.741955041885376,,92
67.0,19.139837,104.0,42.0,67.0,78.76923,30.14364,148.0,42.0,78.76923076923077,18.575885772705078,97540,13.8369619846344,,93
64.0,20.12816,95.0,40.0,64.0,67.0625,27.931767,129.0,39.0,67.0625,19.16094970703125,98613,13.937469005584717,,94
84.666664,43.774677,156.0,39.0,84.66666666666667,73.78571,33.097645,143.0,37.0,73.78571428571429,17.901737213134766,99646,14.039330005645752,,95
71.833336,31.667107,140.0,50.0,71.83333333333333,70.3125,23.483288,134.0,41.0,70.3125,15.724477767944336,100771,14.161607027053833,,96
64.42857,9.514758,75.0,48.0,64.42857142857143,69.066666,14.021253,94.0,43.0,69.06666666666666,13.932588577270508,101807,14.26055908203125,,97
92.8,12.63962,111.0,72.0,92.8,64.3125,17.152693,110.0,38.0,64.3125,15.433070182800293,102836,14.359332084655762,,98
64.28571,10.360837,82.0,51.0,64.28571428571429,63.0,16.163229,98.0,39.0,63.0,13.79597282409668,103844,14.45658016204834,,99
