Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
23.882353,8.75068,43.0,10.0,23.88235294117647,21.48936,11.448074,57.0,9.0,21.48936170212766,9.856673240661621,1010,33.827821016311646,21.48936,0
45.88889,26.937971,96.0,12.0,45.888888888888886,27.027027,15.096959,79.0,9.0,27.027027027027028,12.316137313842773,2010,64.60520386695862,,1
47.333332,33.005054,136.0,17.0,47.333333333333336,40.846153,20.167934,96.0,15.0,40.84615384615385,16.797639846801758,3072,97.42028069496155,,2
