Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-480.38254,19.424122,-462.18384,-507.30182,1000.0,-509.7741,48.205368,-424.92035,-560.68005,1000.0,-0.08067230880260468,41.22907638549805,155000,40.43026876449585,,30
-416.18747,85.35458,-295.4787,-476.9339,1000.0,-478.64355,62.48845,-401.6067,-591.54755,1000.0,-0.08490177989006042,29.789630889892578,160000,47.37779188156128,,31
-420.6067,46.782944,-378.21606,-485.7934,1000.0,-397.38455,33.500412,-355.04343,-447.78192,1000.0,-0.06958849728107452,18.616682052612305,165000,47.90661597251892,,32
-432.4922,38.299168,-380.72412,-472.17078,1000.0,-418.47345,63.20352,-321.5333,-483.71542,1000.0,-0.10777550935745239,24.107784271240234,170000,48.447553873062134,,33
-436.0992,29.520096,-398.00824,-469.94208,1000.0,-385.32333,81.377754,-226.55756,-443.7004,1000.0,-0.08512645214796066,26.81160545349121,175000,48.9934298992157,,34
-377.64685,12.89823,-362.28586,-393.84653,1000.0,-394.47665,63.69403,-321.25653,-500.5713,1000.0,-0.04585400968790054,35.960575103759766,180000,49.53954100608826,,35
-326.25723,133.42572,-218.84216,-514.31555,1000.0,-433.82828,111.58379,-317.56577,-640.5392,1000.0,-0.07860080152750015,29.000490188598633,185000,50.08027172088623,,36
-370.9476,22.79874,-351.52008,-402.94592,1000.0,-405.41684,48.96276,-348.64743,-473.1386,1000.0,-0.045154884457588196,25.141782760620117,190000,50.620895862579346,,37
-403.93588,31.93744,-370.61008,-447.00037,1000.0,-410.65503,82.90372,-331.8545,-563.7402,1000.0,-0.0663805902004242,27.07805633544922,195000,51.165114879608154,,38
-344.22794,53.030468,-274.49182,-402.99164,1000.0,-331.65402,42.46559,-279.50098,-393.21625,1000.0,-0.05036286637187004,16.37848663330078,200000,51.705785036087036,,39
-295.76794,33.946095,-252.23248,-335.0572,1000.0,-329.21017,48.084988,-234.72281,-363.4051,1000.0,-0.04749928414821625,25.396987915039062,205000,52.24997282028198,,40
