Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-691.4295,34.50579,-652.1102,-736.1185,1000.0,-615.70294,54.383396,-543.8512,-694.3552,1000.0,-93.72492218017578,165000,18.287760972976685,,32
-632.1872,37.35387,-584.1698,-675.2672,1000.0,-629.82764,59.107285,-550.8622,-719.8058,1000.0,-93.95779418945312,170000,18.81746006011963,,33
-689.763,125.86352,-593.7092,-867.56934,1000.0,-600.3499,82.74439,-522.88635,-760.6374,1000.0,-90.81517791748047,175000,19.35115385055542,,34
-636.4843,28.763855,-608.61365,-676.0801,1000.0,-609.29364,50.22264,-549.05176,-695.954,1000.0,-92.42810821533203,180000,19.882362842559814,,35
-623.15906,75.219444,-547.4863,-725.74243,1000.0,-526.2682,47.434757,-444.14868,-590.1937,1000.0,-79.78633880615234,185000,20.414542198181152,,36
-697.08466,62.537888,-636.29047,-783.1102,1000.0,-559.6754,38.492775,-512.85657,-629.9828,1000.0,-83.3897933959961,190000,20.947531938552856,,37
-583.1811,43.768322,-525.35077,-631.2075,1000.0,-572.0072,41.33267,-510.6298,-618.6054,1000.0,-85.35700988769531,195000,21.48364496231079,,38
-548.7654,47.49542,-482.95172,-593.29736,1000.0,-588.6443,61.870113,-471.5318,-646.07043,1000.0,-88.40159606933594,200000,22.019267082214355,,39
-525.8781,42.618317,-468.39587,-570.31396,1000.0,-561.6899,39.33428,-484.77637,-593.5084,1000.0,-84.31725311279297,205000,22.552164793014526,,40
-589.4389,47.090485,-529.4802,-644.5178,1000.0,-554.1172,55.40912,-455.448,-623.5238,1000.0,-83.32057189941406,210000,23.084231853485107,,41
-548.3791,53.89818,-489.25,-619.60095,1000.0,-580.8055,49.77059,-539.1544,-669.48193,1000.0,-85.33895874023438,215000,23.630481958389282,,42
-559.18646,56.781662,-479.1895,-605.2345,1000.0,-536.1613,61.4209,-439.45865,-617.6562,1000.0,-78.75627136230469,220000,24.16013503074646,,43
-588.60376,28.102304,-551.9773,-620.27686,1000.0,-537.0663,38.99563,-501.7317,-606.5047,1000.0,-78.61104583740234,225000,24.692163944244385,,44
-517.91315,29.05561,-478.1562,-546.785,1000.0,-576.9389,43.51481,-544.0437,-662.63916,1000.0,-83.3862533569336,230000,25.21919274330139,,45
-502.8854,29.019453,-473.0866,-542.22284,1000.0,-508.48138,20.256275,-472.0529,-531.8645,1000.0,-74.02521514892578,235000,25.746095895767212,,46
-529.12445,37.420666,-485.22388,-576.66797,1000.0,-574.8922,26.878834,-540.1008,-619.12085,1000.0,-84.0210189819336,240000,26.277370929718018,,47
-434.6271,19.082645,-414.19238,-460.11005,1000.0,-492.9922,83.03111,-423.13052,-652.1105,1000.0,-71.20061492919922,245000,26.808708906173706,,48
-513.81256,26.505589,-480.46405,-545.31,1000.0,-477.67407,25.131327,-440.3061,-505.52283,1000.0,-69.48059844970703,250000,27.339690923690796,,49
-427.5852,27.689146,-404.74188,-466.55084,1000.0,-507.8397,44.633686,-433.6499,-572.5735,1000.0,-73.74645233154297,255000,27.8798930644989,,50
-474.3411,69.40598,-402.4376,-568.1565,1000.0,-488.38867,26.55526,-440.49484,-520.6643,1000.0,-70.1380386352539,260000,28.41579008102417,,51
-503.90842,29.174517,-471.65466,-542.31757,1000.0,-431.74258,81.10886,-306.38867,-531.0361,1000.0,-61.732398986816406,265000,28.951961040496826,,52
-585.4054,72.610954,-513.0277,-684.6785,1000.0,-475.1425,30.596197,-430.88913,-523.82764,1000.0,-68.4610366821289,270000,29.485579013824463,,53
-469.84354,89.75626,-346.92017,-558.7217,1000.0,-469.74863,37.713497,-419.73746,-530.8341,1000.0,-67.0352783203125,275000,30.01862406730652,,54
-458.23007,24.363367,-430.15112,-489.56232,1000.0,-496.7552,17.609955,-466.10046,-515.42847,1000.0,-70.1274642944336,280000,30.552042961120605,,55
-439.787,72.05283,-348.96808,-525.21344,1000.0,-526.7252,80.58732,-445.7992,-632.2838,1000.0,-74.46527862548828,285000,31.08483099937439,,56
-399.18027,10.976871,-384.90405,-411.5985,1000.0,-457.95044,62.375256,-352.25052,-547.516,1000.0,-64.47920989990234,290000,31.640326976776123,,57
-428.56982,88.40008,-325.23636,-541.1751,1000.0,-426.9878,91.748764,-291.28192,-531.62476,1000.0,-59.84849548339844,295000,32.181313037872314,,58
-400.80103,20.007404,-372.81677,-418.41327,1000.0,-419.51596,26.386766,-382.52692,-453.6173,1000.0,-58.99236297607422,300000,32.71462297439575,,59
-441.98923,51.19359,-370.17184,-485.82727,1000.0,-378.26263,11.355162,-368.84756,-397.7119,1000.0,-52.661476135253906,305000,33.25288200378418,,60
-405.2445,45.612865,-369.9906,-469.6547,1000.0,-407.6402,49.5509,-327.9101,-472.73026,1000.0,-56.183048248291016,310000,33.78664183616638,,61
-453.45065,55.96743,-403.6991,-531.63794,1000.0,-416.06134,66.37133,-319.52118,-496.59094,1000.0,-57.41126251220703,315000,34.325443744659424,,62
-356.35962,41.13601,-311.6407,-410.9436,1000.0,-393.31876,37.193447,-322.31287,-430.7916,1000.0,-54.838993072509766,320000,34.858173847198486,,63
-384.21024,29.1227,-357.406,-424.69275,1000.0,-374.5334,37.481255,-333.69647,-435.9016,1000.0,-50.56525802612305,325000,35.40229797363281,,64
-373.5331,15.545627,-351.7161,-386.78973,1000.0,-372.38553,47.67969,-316.42642,-438.4889,1000.0,-50.803382873535156,330000,35.93555998802185,,65
-364.71033,46.09104,-299.53027,-397.79614,1000.0,-374.3901,50.84486,-294.01233,-438.74734,1000.0,-51.162906646728516,335000,36.4719078540802,,66
-402.9608,33.807617,-356.5459,-436.10187,1000.0,-381.8123,84.2645,-302.48474,-538.30176,1000.0,-51.61417007446289,340000,37.00777077674866,,67
-359.9103,16.742525,-339.33795,-380.34793,1000.0,-395.5027,51.366085,-317.88702,-467.36328,1000.0,-52.6319694519043,345000,37.55739688873291,,68
-394.56784,43.778088,-335.73947,-440.69128,1000.0,-385.99042,53.566334,-325.31854,-462.23535,1000.0,-51.85346603393555,350000,38.09384799003601,,69
