Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-413.23633,48.144485,-356.39612,-474.11765,1000.0,-421.27588,67.62508,-332.1896,-540.22205,1000.0,-0.07072129845619202,25.970867156982422,155000,17.36205005645752,,30
-383.76578,18.556643,-360.69836,-406.13666,1000.0,-476.3776,90.17503,-346.77502,-603.2185,1000.0,-7.5193586349487305,35.399017333984375,160000,17.904200792312622,,31
-366.58728,21.687025,-336.0001,-383.83252,1000.0,-357.70538,46.181477,-302.40814,-440.93002,1000.0,12.455352783203125,22.923898696899414,165000,18.449877977371216,,32
-408.0206,69.982475,-322.59814,-494.01663,1000.0,-389.32385,49.301903,-333.27902,-463.26233,1000.0,5.1170830726623535,16.71183204650879,170000,18.992762088775635,,33
-452.89053,39.773994,-402.15286,-499.28845,1000.0,-436.83246,35.443962,-401.4218,-498.37125,1000.0,-6.535371780395508,18.267868041992188,175000,19.53495502471924,,34
-418.76987,35.39325,-372.44293,-458.34625,1000.0,-397.99887,48.066517,-362.3504,-484.6022,1000.0,-3.450939416885376,30.169584274291992,180000,20.078312873840332,,35
-374.42984,31.919708,-342.53082,-418.04053,1000.0,-416.68155,58.606842,-342.41833,-519.75696,1000.0,-3.504345417022705,26.86840057373047,185000,20.619287967681885,,36
-334.5309,48.19175,-270.5447,-386.8462,1000.0,-460.79086,58.78186,-406.70288,-574.7136,1000.0,-5.3075995445251465,17.49834442138672,190000,21.157318115234375,,37
-371.52963,14.606906,-358.69937,-391.96548,1000.0,-419.847,63.314472,-348.35547,-537.4747,1000.0,3.113586664199829,19.801759719848633,195000,21.701592922210693,,38
-516.0278,78.37915,-411.64233,-600.51135,1000.0,-440.33798,62.20168,-380.76392,-560.88306,1000.0,0.4322916567325592,24.35088348388672,200000,22.278483867645264,,39
-385.0726,28.961203,-344.5382,-410.42413,1000.0,-380.29898,36.420734,-341.6715,-448.51575,1000.0,5.244394302368164,20.151094436645508,205000,22.825159788131714,,40
-456.13025,81.49147,-392.04932,-571.1256,1000.0,-395.08698,47.8954,-324.73285,-473.16278,1000.0,-1.3164347410202026,24.78702163696289,210000,23.385154008865356,,41
-398.98428,42.2538,-339.23248,-429.46686,1000.0,-398.0296,108.82683,-305.5112,-602.76276,1000.0,-5.280715465545654,27.926294326782227,215000,23.932335138320923,,42
-336.31888,15.886973,-321.74554,-358.41458,1000.0,-331.58496,43.941227,-272.46503,-401.11737,1000.0,4.5463409423828125,22.598695755004883,220000,24.476659774780273,,43
-292.95334,38.32328,-243.54575,-336.94907,1000.0,-309.4476,43.24114,-234.20917,-359.30255,1000.0,6.507289886474609,20.102031707763672,225000,25.02050805091858,,44
-304.08176,61.43138,-220.51205,-366.4287,1000.0,-346.08066,52.19929,-292.1056,-429.27765,1000.0,-3.178595542907715,18.222166061401367,230000,25.564579010009766,,45
-260.83984,26.437897,-235.7626,-297.39496,1000.0,-279.87573,59.564278,-213.74838,-355.54587,1000.0,3.324519634246826,20.75050926208496,235000,26.104135751724243,,46
-285.8828,16.734394,-266.5796,-307.39188,1000.0,-373.65805,79.50859,-270.28192,-510.7613,1000.0,-7.8599748611450195,30.19396209716797,240000,26.653573989868164,,47
-324.25125,49.97302,-272.7193,-391.90155,1000.0,-287.4983,30.166155,-262.242,-346.08502,1000.0,2.887685537338257,20.927391052246094,245000,27.199391841888428,,48
-264.52753,23.839533,-235.99777,-294.34955,1000.0,-205.11858,42.88481,-151.19902,-271.4805,1000.0,11.610942840576172,18.999794006347656,250000,27.74224305152893,,49
-363.03403,76.359024,-259.0022,-440.13147,1000.0,-349.5152,45.589478,-289.21027,-419.40552,1000.0,-11.127482414245605,32.741424560546875,255000,28.2866370677948,,50
-300.12436,64.91739,-213.36804,-369.51035,1000.0,-277.98267,128.03294,-98.97658,-488.77228,1000.0,-0.015061480924487114,29.212543487548828,260000,28.82839798927307,,51
-249.22168,104.38074,-128.64993,-383.26288,1000.0,-338.9314,94.16391,-201.1031,-493.49408,1000.0,-3.748042106628418,32.2913818359375,265000,29.369536876678467,,52
-236.34113,53.43621,-169.60297,-300.4129,1000.0,-277.79034,89.55775,-182.14368,-440.18826,1000.0,3.994765520095825,17.084444046020508,270000,29.94398307800293,,53
-246.00348,94.56234,-171.01097,-379.39105,1000.0,-222.79948,79.399864,-131.07245,-341.255,1000.0,5.79850959777832,22.613277435302734,275000,30.489825963974,,54
-272.26566,88.39403,-147.94653,-345.77524,1000.0,-241.2157,94.35191,-135.91153,-404.13403,1000.0,-1.3099535703659058,25.131668090820312,280000,31.031677961349487,,55
-250.29884,34.85318,-204.85675,-289.55405,1000.0,-214.11856,47.280575,-143.88516,-290.19092,1000.0,-0.9446915984153748,14.882246971130371,285000,31.58743190765381,,56
-171.41106,107.078705,-91.68164,-322.771,1000.0,-213.45605,101.917656,-103.222694,-399.70245,1000.0,1.0766067504882812,24.498146057128906,290000,32.14095878601074,,57
-223.60835,36.891537,-185.39156,-273.47525,1000.0,-182.55891,57.377514,-113.71368,-251.74898,1000.0,2.4402551651000977,26.1392822265625,295000,32.67636299133301,,58
-166.67049,122.75872,-5.974428,-303.91437,1000.0,-117.28096,39.205605,-71.165665,-168.77795,1000.0,7.111837387084961,20.153518676757812,300000,33.21437883377075,,59
-64.00184,60.341557,21.171305,-111.14994,1000.0,-135.5225,76.39869,-65.03769,-268.44257,1000.0,-1.9084184169769287,28.75041961669922,305000,33.75329303741455,,60
-61.958843,40.80314,-26.725004,-119.15197,1000.0,-80.47775,14.06879,-54.12863,-93.403305,1000.0,3.492976665496826,15.817037582397461,310000,34.32568097114563,,61
-59.502777,52.836746,-2.0910873,-129.62729,1000.0,-81.23286,105.98138,23.242954,-279.78793,1000.0,1.3622325658798218,30.69053077697754,315000,34.868414878845215,,62
-204.51599,80.33018,-91.573906,-271.59235,1000.0,-66.61778,59.126717,0.7837677,-173.95291,1000.0,0.26297882199287415,19.944398880004883,320000,35.407423973083496,,63
-236.72707,113.9152,-90.171196,-367.93634,1000.0,-119.33384,116.53901,2.9964485,-312.1733,1000.0,-3.894502639770508,27.757850646972656,325000,35.94843888282776,,64
-147.67033,98.577446,-13.208938,-246.7816,1000.0,-94.553665,95.57946,25.237156,-225.38477,1000.0,1.4506595134735107,23.27137565612793,330000,36.49339413642883,,65
29.24103,38.72893,82.370285,-8.849941,1000.0,-68.084236,53.975086,1.594162,-135.55162,1000.0,1.5990689992904663,22.012004852294922,335000,37.03473091125488,,66
-19.4218,88.31475,58.556377,-142.90228,1000.0,-160.15367,64.41606,-84.70593,-250.17697,1000.0,-5.572635650634766,28.89183807373047,340000,37.574559926986694,,67
-110.866066,107.36938,22.160698,-240.78436,1000.0,-131.34833,56.63859,-19.876036,-167.27162,1000.0,3.9403178691864014,23.407243728637695,345000,38.11287999153137,,68
18.447031,57.387005,61.977287,-62.637062,1000.0,-41.16331,76.9805,104.16343,-121.85069,1000.0,3.744860887527466,25.76392364501953,350000,38.65468406677246,,69
-18.678255,128.87126,87.01872,-200.10674,1000.0,59.064995,33.738384,116.7824,10.806549,1000.0,6.368309497833252,18.08226203918457,355000,39.19363713264465,,70
33.11299,126.78834,157.33235,-140.97922,1000.0,-31.18129,157.64871,120.872345,-326.05103,1000.0,-5.448509693145752,30.059368133544922,360000,39.730470180511475,,71
75.47546,126.08058,196.56717,-98.41531,1000.0,-4.6277666,71.31931,101.83855,-116.689095,1000.0,-0.5724950432777405,22.62873077392578,365000,40.26858592033386,,72
50.31082,14.618491,67.35113,31.653046,1000.0,58.18882,92.78367,155.10419,-110.52682,1000.0,5.433349132537842,21.84927749633789,370000,40.805505990982056,,73
110.6385,42.072605,165.07106,62.614086,1000.0,-90.36088,140.54672,121.53128,-286.0348,1000.0,-6.727168083190918,26.90552520751953,375000,41.34625697135925,,74
153.66957,69.883736,246.17108,77.28233,1000.0,88.54058,87.60734,210.11584,-26.201035,1000.0,5.611929893493652,22.23133659362793,380000,41.88649106025696,,75
126.50216,95.27539,240.46442,7.2670984,1000.0,80.617744,49.67808,156.1316,15.698681,1000.0,-0.8398331999778748,17.479402542114258,385000,42.442713022232056,,76
95.35913,71.54977,186.03865,11.135277,1000.0,-4.6434083,136.64331,124.150986,-248.88821,1000.0,-3.516571044921875,27.15576934814453,390000,42.98241996765137,,77
186.28674,24.167986,215.18347,156.03105,1000.0,88.789345,45.981796,174.55684,56.41931,1000.0,4.916943550109863,17.000625610351562,395000,43.51844596862793,,78
182.02783,88.728806,305.83127,102.41356,1000.0,129.5886,97.935646,229.9067,-57.94999,1000.0,1.8103630542755127,25.050487518310547,400000,44.049623012542725,,79
164.7665,66.5277,248.07634,85.24992,1000.0,140.75964,112.23296,285.86206,-60.50433,1000.0,4.299892902374268,29.35031509399414,405000,44.58818602561951,,80
326.67703,104.775894,474.84937,251.75003,1000.0,152.40294,109.8188,265.9168,-22.959106,1000.0,1.7078487873077393,25.357694625854492,410000,45.12696695327759,,81
192.75395,38.844852,245.19595,152.36392,1000.0,257.3969,135.95825,470.19788,105.68754,1000.0,8.828721046447754,31.21627426147461,415000,45.66221594810486,,82
246.9113,99.72946,357.71198,115.93744,1000.0,234.73087,20.93779,250.74463,194.11603,1000.0,-6.03882360458374,20.921350479125977,420000,46.195619106292725,,83
293.68033,63.275402,356.6191,207.12286,1000.0,251.05203,135.44235,371.15002,-13.606979,1000.0,0.4397794306278229,29.701719284057617,425000,46.727890968322754,,84
386.35303,102.715004,466.0058,241.32617,1000.0,378.5749,23.265015,409.30103,340.45935,1000.0,9.293869972229004,24.908754348754883,430000,47.26337814331055,,85
485.48898,215.00519,764.6876,241.59714,1000.0,255.07759,89.70842,409.29468,161.71976,1000.0,-4.499749183654785,34.12140655517578,435000,47.794193983078,,86
226.73747,79.70174,325.62717,130.45064,1000.0,386.51273,65.47558,482.37234,310.264,1000.0,3.7800164222717285,39.76041793823242,440000,48.32937788963318,,87
