Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-180.25139,160.37216,40.74127,-472.4791,165.15384615384616,-158.22926,84.59195,-16.407856,-312.63684,200.1,-1.2871651649475098,2483.6767578125,32830,9.409640789031982,,15
-147.7932,106.24992,24.0849,-324.01172,155.30769230769232,-132.95972,112.494965,-16.963593,-470.97754,148.71428571428572,-2.4311716556549072,1820.6484375,34912,10.107915878295898,,16
-187.38159,119.8396,-43.89361,-377.1793,196.36363636363637,-185.61974,85.61131,-7.5091095,-338.65735,171.5,-5.936478137969971,2423.824951171875,36970,10.838937759399414,,17
-170.23796,99.04039,15.58366,-307.249,143.0,-221.79291,130.67796,-12.935768,-484.19012,187.45454545454547,-7.078236103057861,3886.406982421875,39032,11.490886926651001,,18
-200.04994,99.55635,-36.651028,-375.24063,203.2,-176.23033,104.17316,-50.396782,-326.99652,171.0,-4.275751113891602,2797.24853515625,41084,12.170588970184326,,19
-70.29513,65.141235,19.277023,-180.15425,501.0,-166.29942,112.77245,20.010643,-330.63855,167.41666666666666,-2.957122564315796,2329.56640625,43093,13.626307725906372,,20
-120.253395,103.287125,33.699196,-296.9413,190.1818181818182,-126.942314,81.5079,-16.385881,-313.04968,149.64285714285714,0.7180778384208679,2016.12646484375,45188,14.3484468460083,,21
-180.85402,123.909874,-42.923256,-448.52924,195.9090909090909,-149.72227,130.46231,28.972412,-348.33313,288.57142857142856,4.07346248626709,3196.260009765625,47208,15.605938911437988,,22
-55.897003,51.682957,29.344614,-187.52925,181.58333333333334,-103.75272,97.16904,20.797077,-330.2303,172.41666666666666,3.981031894683838,2448.617431640625,49277,16.34465193748474,,23
-75.19085,110.49548,50.152878,-301.31262,226.22222222222223,-166.02357,88.03703,-41.847908,-288.49664,195.72727272727272,-0.1111534982919693,2166.20947265625,51430,17.607205867767334,,24
-160.99484,113.191895,-19.3975,-340.84372,206.2,-25.687317,48.16763,31.318316,-128.35794,204.3,11.996206283569336,2664.290771484375,53473,18.418912887573242,,25
-42.85244,76.174126,60.65219,-183.12631,407.0,-94.03242,71.524414,32.975143,-195.84784,255.5,7.29570198059082,2626.460205078125,55517,21.028547763824463,,26
-70.994675,76.84255,33.5141,-266.9321,270.1818181818182,-70.39711,97.86616,34.7838,-289.88483,201.7,6.86892557144165,2684.630615234375,57534,22.567456007003784,,27
-50.276733,54.389553,24.928078,-163.94711,190.63636363636363,-59.65128,77.54399,65.964424,-267.27286,149.85714285714286,7.269066333770752,2536.386962890625,59632,23.26073908805847,,28
-62.217953,71.291626,13.82309,-233.39908,179.33333333333334,-35.76316,41.553734,25.443275,-123.55986,257.5,10.367596626281738,2503.640869140625,61692,24.453155755996704,,29
-51.452553,50.576874,26.735355,-148.86569,290.8,-24.30008,33.56762,48.922333,-71.65963,302.85714285714283,10.297226905822754,2376.695556640625,63812,26.77260684967041,,30
-54.83051,69.20745,15.37986,-215.38263,160.69230769230768,-24.074043,34.04718,19.892885,-95.06835,174.69230769230768,8.967184066772461,2307.13720703125,66083,27.6215717792511,,31
-31.753109,58.2484,25.139843,-157.51541,304.2857142857143,-69.577644,56.9373,-7.2031937,-200.76662,226.88888888888889,4.907797813415527,1571.2646484375,68125,29.121737003326416,,32
-78.34592,86.86221,32.17743,-242.42343,268.125,-35.190525,33.359062,47.17891,-91.0108,195.45454545454547,6.585188865661621,1698.382080078125,70275,30.315046787261963,,33
-56.562748,108.78089,39.318962,-287.26117,389.3333333333333,-16.472597,69.2711,34.38719,-182.12524,288.0,7.613728046417236,2094.957275390625,72291,32.305219888687134,,34
-11.6985445,37.830093,35.33056,-57.30091,725.6666666666666,-29.695543,77.062614,51.454697,-152.39365,252.44444444444446,6.77718448638916,2270.384765625,74563,34.79990601539612,,35
-53.00082,111.36057,60.88081,-275.5337,402.8333333333333,-73.992775,72.4015,8.94503,-195.95863,318.0,3.4076085090637207,1628.482421875,76789,36.737525939941406,,36
-31.931005,21.545006,-1.5228958,-48.80571,734.3333333333334,-31.42337,46.682766,18.044094,-134.37566,294.7142857142857,4.609611988067627,1178.669921875,78852,39.116162061691284,,37
-111.26367,101.67349,10.951626,-273.26233,468.6666666666667,-75.32917,107.37973,22.94725,-239.68286,488.5,3.5408337116241455,1463.361328125,81783,41.963979959487915,,38
0.54065084,27.764044,28.737328,-27.675362,580.25,-75.66936,10.536404,-65.13295,-86.20576,1000.0,4.144134998321533,947.3621215820312,83783,44.8474178314209,,39
-75.87014,93.41661,29.40385,-197.63046,697.3333333333334,-29.838037,63.519,50.737106,-160.27081,316.2857142857143,3.544018030166626,1477.2100830078125,85997,46.74105787277222,,40
-26.307531,37.61936,12.356178,-84.912384,573.0,31.454292,29.910458,60.430664,-9.721542,749.0,5.72251033782959,1069.30810546875,88244,49.978821754455566,,41
-41.388973,87.14152,67.16394,-156.00232,552.5,9.624265,44.955574,73.48058,-41.845314,505.4,4.875608444213867,1072.1124267578125,90771,52.589340925216675,,42
22.716629,34.73522,77.188866,-9.33522,588.25,-29.688396,54.03639,58.65795,-96.01325,559.2,3.328761339187622,701.6981201171875,93567,55.207066774368286,,43
3.2713454,36.870316,68.718864,-38.58179,307.0,-9.660239,60.284702,81.97132,-83.34865,332.125,3.365708589553833,1075.9652099609375,96224,57.2915940284729,,44
-9.065784,19.644936,33.084496,-27.630527,354.0,-29.850918,22.689693,-2.8598633,-72.45834,291.42857142857144,2.2603907585144043,1071.1463623046875,98264,58.63337969779968,,45
-33.789677,50.9146,53.172867,-81.36572,433.0,-13.228814,22.860495,19.487793,-45.932777,226.77777777777777,2.114910840988159,836.7298583984375,100305,60.31741905212402,,46
-48.864002,59.298172,44.107967,-118.04593,351.0,-39.17025,66.72982,7.9303436,-183.85263,361.0,0.979231595993042,979.766845703125,102471,62.059783935546875,,47
19.496346,52.016598,82.31863,-86.9516,358.6666666666667,-67.01338,46.452446,-10.746841,-142.2152,402.6,0.5420627593994141,957.5513305664062,104484,63.917351961135864,,48
-78.64331,37.9264,-22.104189,-115.298325,539.5,-6.9701314,50.956882,77.18173,-102.18242,196.72727272727272,0.9011142253875732,1539.445068359375,106648,65.64542007446289,,49
-86.50272,18.349672,-60.748367,-102.136795,799.0,-72.74625,92.338196,80.962006,-187.0997,561.0,0.477192223072052,929.9136962890625,109453,68.32717895507812,,50
-75.64007,78.002815,28.482008,-191.50635,534.5,31.254923,39.02199,72.770584,-20.989594,721.3333333333334,3.2220864295959473,692.8480834960938,111617,70.42885398864746,,51
-139.79881,99.15301,8.829552,-268.06262,655.5,-73.69866,98.540245,83.24457,-180.7398,554.25,-0.19830845296382904,1145.4293212890625,113834,72.99483489990234,,52
-85.51707,117.78621,32.269146,-203.30328,1000.0,-130.75673,78.87633,-29.930582,-222.49507,708.6666666666666,-1.2664541006088257,738.4791870117188,115960,75.74522805213928,,53
-323.0847,269.1992,15.01244,-643.692,685.6666666666666,-187.6141,96.04108,-67.20375,-290.63593,655.75,-2.6991002559661865,769.6962280273438,118583,78.39895176887512,,54
-91.087585,103.99865,12.911064,-195.08623,1000.0,-353.45367,100.84682,-252.60687,-454.3005,1000.0,-2.8111727237701416,700.410888671875,120583,82.00486087799072,,55
-128.2911,139.74931,62.92407,-267.1696,844.3333333333334,-135.04848,105.23424,-19.933094,-274.2928,679.3333333333334,-0.5480883121490479,546.3290405273438,122621,84.51662492752075,,56
-48.64804,139.93031,91.13095,-239.85167,727.3333333333334,-98.62274,101.61746,8.799728,-235.00484,752.6666666666666,0.23674766719341278,810.189453125,124879,87.57861280441284,,57
-74.37152,131.68765,97.42552,-222.19461,732.25,-157.13081,94.07668,-11.024399,-265.9237,599.75,-1.8458032608032227,1282.2418212890625,127278,90.65436172485352,,58
